ID,PROGRAMA,SEXO,PUNTAJE SABER 11,ESTRATO,FECHA DE NACIMIENTO,ESTADO A 2022-2,Status.20171,Status.20172,Status.20181,Status.20182,Status.20191,Status.20192,Status.20201,Status.20202,Status.20211,Status.20212,Status.20221,Status.20222,CANTIDAD DE SEMESTRES ACTIVOS EN LA U,Creditos.20171,Creditos.20172,Creditos.20181,Creditos.20182,Creditos.20191,Creditos.20192,Creditos.20201,Creditos.20202,Creditos.20211,Creditos.20212,Creditos.20221,Creditos.20222,Promedio.20171,Promedio.20172,Promedio.20181,Promedio.20182,Promedio.20191,Promedio.20192,Promedio.20201,Promedio.20202,Promedio.20211,Promedio.20212,Promedio.20221,Promedio.20222
-,INGENIERIA ELECTRICA,F,,3,,GRADUADO,1,1,1,1,0,0,0,0,0,0,0,0,4,20,15,15,12,0,0,0,0,0,0,0,0,3.62,4.15,3.73,4.8,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,F,324,5,2/14/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,18,18,17,17,12,16,9,12,0,0,3.98,3.49,3.79,3.72,4.15,3.78,4.33,4.24,4.33,0,-,-
-,INGENIERIA ELECTRICA,M,382,1,9/1/1994,DESERTOR,1,1,0,1,0,0,0,0,0,0,0,0,3,17,10,0,10,0,0,0,0,0,0,0,0,4.22,3.46,-,3.45,-,-,-,-,-,-,-,-
-,INGENIERIA INDUSTRIAL,M,462,1,6/10/1994,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,3.61,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,246,1,6/1/1997,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,2.52,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA INDUSTRIAL,F,360,2,6/3/1996,DESERTOR,1,1,1,1,1,1,0,0,0,0,0,0,6,15,18,18,14,15,15,0,0,0,0,0,0,3.65,3.99,3.37,3.95,3.37,,-,-,-,-,-,-
-,INGENIERIA CIVIL,M,303,1,5/23/2000,GRADUADO,1,1,1,1,1,1,1,1,1,0,1,0,10,13,15,18,16,16,16,19,14,15,0,12,0,3.86,3.27,3.8,3.74,3.61,3.85,4.33,4.26,4.4,-,,-
-,INGENIERIA CIVIL,M,258,5,12/7/2000,DESERTOR,1,1,1,0,0,0,0,0,0,0,0,0,3,13,13,0,0,0,0,0,0,0,0,0,0,3.13,2.25,,-,-,-,-,-,-,-,-,-
-,INGENIERIA AGROINDUSTRIAL,F,250,2,10/17/2000,DESERTOR,1,1,1,1,0,0,0,0,0,0,0,0,4,17,13,21,6,0,0,0,0,0,0,0,0,2.18,3.49,2.71,1.4,-,-,-,-,-,-,-,-
-,INGENIERIA AMBIENTAL,M,321,4,11/26/1998,GRADUADO,1,1,1,1,1,1,1,1,1,1,1,0,11,16,18,16,16,16,16,16,16,19,21,14,0,3.17,3.17,3.13,3.33,3.55,3.28,4.27,3.56,3.42,3.74,3.74,-
-,INGENIERIA CIVIL,M,286,3,1/5/2000,ACTIVO,1,1,1,1,1,1,1,1,1,1,1,1,12,13,15,18,19,15,15,16,9,9,16,15,12,3.49,3.27,3.17,3.43,3.46,3.13,3.76,2.9,3.76,3.28,3.28,
-,INGENIERIA CIVIL,M,298,2,5/5/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,13,15,16,18,16,16,12,14,12,12,0,0,3.95,3.81,3.89,4.09,4.18,4.49,4.5,4.64,4.45,4.6,-,-
-,INGENIERIA AGROINDUSTRIAL,F,297,3,7/30/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,17,19,19,18,21,21,14,20,11,12,0,0,3.26,3.51,3.38,3.26,3.7,3.79,4.06,3.78,4.06,0.74,-,-
-,INGENIERIA CIVIL,F,313,2,7/27/1999,GRADUADO,1,1,1,1,1,1,0,1,1,1,0,0,9,13,15,18,16,16,16,0,18,0,12,0,0,4.03,3.57,3.41,3.69,3.65,3.86,-,4.24,4.05,0,-,-
-,INGENIERIA ELECTRICA,M,323,1,10/6/1993,DESERTOR,1,1,0,1,0,0,0,0,0,0,0,0,3,14,15,0,10,0,0,0,0,0,0,0,0,3.34,2.79,-,0.15,-,-,-,-,-,-,-,-
-,INGENIERIA INDUSTRIAL,M,311,2,1/15/2000,GRADUADO,1,1,1,1,1,1,1,1,1,1,0,0,10,15,17,18,17,19,19,12,15,12,12,0,0,3.9,3.39,3.77,3.98,4.01,3.8,4.23,4.46,4.23,0,-,-
-,INGENIERIA AMBIENTAL,M,285,3,12/27/1999,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,2.82,-,-,-,-,-,-,-,-,-,-,-
-,INGENIERIA CIVIL,F,285,6,12/9/1978,DESERTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.7,-,-,-,-,-,-,-,-,-,-,-
